run_key,tag,evals
main/cec2022_F05_D10/TFO-static/static/1,box_to_box,17405
main/cec2022_F05_D10/TFO-static/static/1,destroyer,9598
main/cec2022_F05_D10/TFO-static/static/1,virtuoso,62046
main/cec2022_F05_D10/TFO-static/static/1,finisher,2306
main/cec2022_F05_D10/TFO-static/static/1,formation,0
main/cec2022_F05_D10/TFO-static/static/1,rotation,0
main/cec2022_F05_D10/TFO-static/static/1,possession,6963
main/cec2022_F05_D10/TFO-static/static/1,pressing,70156
main/cec2022_F05_D10/TFO-static/static/1,counter_attack,225
main/cec2022_F05_D10/TFO-static/static/1,set_pieces,1119
main/cec2022_F05_D10/TFO-static/static/1,offside,0
main/cec2022_F05_D10/TFO-static/static/1,substitutions,0
main/cec2022_F05_D10/TFO-static/static/1,fatigue,0
main/cec2022_F05_D10/TFO-static/static/1,var_review,0
main/cec2022_F05_D10/TFO-static/static/1,manager,0
main/cec2022_F05_D10/TFO-static/static/1,neutral,0
main/cec2022_F05_D10/TFO/full/2,init,30
main/cec2022_F05_D10/TFO/full/2,sweeper_keeper,0
main/cec2022_F05_D10/TFO/full/2,zonal_centre_back,18540
main/cec2022_F05_D10/TFO/full/2,overlapping_wing_back,18181
main/cec2022_F05_D10/TFO/full/2,deep_lying_playmaker,13652
main/cec2022_F05_D10/TFO/full/2,box_to_box,27564
main/cec2022_F05_D10/TFO/full/2,destroyer,13904
main/cec2022_F05_D10/TFO/full/2,virtuoso,81276
main/cec2022_F05_D10/TFO/full/2,finisher,18267
main/cec2022_F05_D10/TFO/full/2,formation,0
main/cec2022_F05_D10/TFO/full/2,rotation,0
main/cec2022_F05_D10/TFO/full/2,possession,6201
main/cec2022_F05_D10/TFO/full/2,pressing,1316
main/cec2022_F05_D10/TFO/full/2,counter_attack,45
main/cec2022_F05_D10/TFO/full/2,set_pieces,1023
main/cec2022_F05_D10/TFO/full/2,offside,0
main/cec2022_F05_D10/TFO/full/2,substitutions,1
main/cec2022_F05_D10/TFO/full/2,fatigue,0
main/cec2022_F05_D10/TFO/full/2,var_review,0
main/cec2022_F05_D10/TFO/full/2,manager,0
main/cec2022_F05_D10/TFO/full/2,neutral,0
main/cec2022_F05_D10/TFO-static/static/2,init,30
main/cec2022_F05_D10/TFO-static/static/2,sweeper_keeper,0
main/cec2022_F05_D10/TFO-static/static/2,zonal_centre_back,19984
main/cec2022_F05_D10/TFO-static/static/2,overlapping_wing_back,13793
main/cec2022_F05_D10/TFO-static/static/2,deep_lying_playmaker,713
main/cec2022_F05_D10/TFO-static/static/2,box_to_box,16039
main/cec2022_F05_D10/TFO-static/static/2,destroyer,5445
main/cec2022_F05_D10/TFO-static/static/2,virtuoso,65261
main/cec2022_F05_D10/TFO-static/static/2,finisher,886
main/cec2022_F05_D10/TFO-static/static/2,formation,0
main/cec2022_F05_D10/TFO-static/static/2,rotation,0
